cell,umax,obstacles,sweep,sweep_var,tol,admm_max_iter,scp_iter,seed,cos_AD,rel_l2_AD,sign_AD,descent_AD,cos_FD,rel_l2_FD,sign_FD,descent_FD,gnorm,conv_error,num_iter,admm_iters_last,eq_viol,ineq_viol,n_active,n_active_box,n_active_obs,cos_AD_FD_tight,fwd_ms,bwd_ms
C2_tight_off,0.1,0,admm_iter,50,1e-10,50,15,2,1.0000000000000002,5.145804622506323e-07,1.0,1.0,0.9999999987827514,0.0011020753045885483,1.0,1.0,208.05832419095515,1.0225533211448076e-07,15,50.0,2.6430511904676273e-06,8.596420605355704e-07,27.0,27.0,0.0,0.9999999987825928,nan,517.745153978467
C2_tight_off,0.1,0,admm_iter,50,1e-10,50,15,3,0.9999999999999984,7.273617004028169e-07,1.0,1.0,0.9999988348519582,0.0015333789293003428,1.0,1.0,16.81839371296985,1.7931489639921167e-08,15,50.0,3.7906037420196584e-06,4.547796387949221e-07,28.0,28.0,0.0,0.9999988348705178,nan,517.745153978467
C2_tight_off,0.1,0,admm_iter,100,1e-10,100,15,0,0.9999999999999979,1.583133102002867e-06,1.0,1.0,0.9999999933067527,0.0006553297581095005,1.0,1.0,83.65800317974191,1.3654690034226036e-07,15,100.0,1.3048659991402337e-06,1.6436453651180738e-06,27.0,27.0,0.0,0.9999999933019592,nan,733.0014910548925
C2_tight_off,0.1,0,admm_iter,100,1e-10,100,15,1,1.0000000000000002,1.7141365550795302e-06,1.0,1.0,0.9999999995614625,0.0008844362055825012,0.8571428571428571,1.0,269.677002219948,1.7434432425522672e-07,15,100.0,1.0453836074081248e-07,0.0,22.0,22.0,0.0,0.9999999995616202,nan,733.0014910548925
C2_tight_off,0.1,0,admm_iter,100,1e-10,100,15,2,1.0000000000000002,1.8438888715740086e-06,1.0,1.0,0.9999999987831604,0.0011007455317846423,1.0,1.0,208.05804762464373,1.8672355794890905e-07,15,100.0,2.4111644162783918e-06,3.031527285438096e-06,27.0,27.0,0.0,0.9999999987825928,nan,733.0014910548925
C2_tight_off,0.1,0,admm_iter,100,1e-10,100,15,3,0.9999999999999598,7.905275312950923e-07,1.0,1.0,0.9999988347373466,0.001533592458301418,1.0,1.0,16.81836910501601,1.7223569240623626e-07,15,100.0,4.776519429377524e-06,1.822533916465141e-06,28.0,28.0,0.0,0.9999988348705178,nan,733.0014910548925
C2_tight_off,0.1,0,admm_iter,300,1e-10,300,15,0,0.9999999999999998,3.915073807352157e-07,1.0,1.0,0.9999999933031405,0.0006565079541175416,1.0,1.0,83.65810278324295,2.773541566206128e-08,15,300.0,5.242611151554229e-06,4.5315216960772897e-07,27.0,27.0,0.0,0.9999999933019592,nan,1716.6490461677313
C2_tight_off,0.1,0,admm_iter,300,1e-10,300,15,1,1.0000000000000004,2.0985782351805556e-07,1.0,1.0,0.9999999995615949,0.0008829313233193795,0.8571428571428571,1.0,269.67659655892254,4.0220551413699956e-08,15,300.0,4.177002085548039e-06,0.0,22.0,22.0,0.0,0.9999999995616202,nan,1716.6490461677313
C2_tight_off,0.1,0,admm_iter,300,1e-10,300,15,2,1.0000000000000002,1.4559441458201115e-07,1.0,1.0,0.9999999987825481,0.0011027357077075296,1.0,1.0,208.05846154154887,7.614676522270034e-08,15,300.0,4.9393162742482465e-06,1.1496206681060883e-08,27.0,27.0,0.0,0.9999999987825928,nan,1716.6490461677313
C2_tight_off,0.1,0,admm_iter,300,1e-10,300,15,3,0.9999999999999998,2.1411178020376188e-08,1.0,1.0,0.9999988348831426,0.0015334278346515638,1.0,1.0,16.818381407338958,1.440839933163074e-07,15,300.0,6.638368714970844e-06,3.720280077612603e-07,28.0,28.0,0.0,0.9999988348705178,nan,1716.6490461677313
