update,train_loss_mean,grad_norm,min_obs_margin,max_obs_margin,plan_margin_max,wall_clock_s,ep_step,eval_cost,eval_closest_margin,eval_n_grazing,eval_n_violations,fwd_conv_max,fwd_iters_max,fwd_n_nonconv,fwd_rs_max,fwd_comp_max
26,1.9527165685174561,1.0433161855958233,-0.7903323330563519,-0.6631328196609427,-0.6258428456336551,11.598401069641113,0,,,,,0.0008423356292561746,2,0,4.011715415408457e-05,1.3552527156068805e-16
27,34.19054125724873,8.062580485918428,-0.7383574221431588,0.0001347653724886877,0.00013406010421490588,68.33880805969238,24,,,,,0.0009365279187269482,20,0,0.0001406639047333595,0.001507160201157879
28,1.6055972605054596,0.733374423691615,-0.7807718674039785,-0.656533705029976,-0.6196078276578965,11.41958236694336,0,,,,,0.0007388647275239357,2,0,2.8901631154765184e-05,1.3552527156068805e-16
29,33.078268296226724,4.948894071348593,-0.6385548879812359,1.673843019500687e-05,1.665173987253077e-05,54.99557662010193,24,,,,,0.011036900688175422,40,1,2.6115926442896025e-05,0.05384075177509523
30,1.2662179524892547,0.4552518581453633,-0.7751402465379713,-0.6566918115852318,-0.6207362243119248,12.080756664276123,0,33.89986868905028,1.3078037663039055e-05,7,1,0.0006206598266068619,2,0,2.337993041401365e-05,1.3552527156068805e-16
31,33.5843630750484,6.446449835222993,-0.6749695675587022,1.2474944730778148e-05,1.2406365240136275e-05,49.90165615081787,24,,,,,0.011231096600582191,40,1,2.129588615951139e-05,0.02508302372004358
32,0.9905699889402675,0.25596469414594303,-0.7630062744323471,-0.6386550505939201,-0.6020381874316152,12.00461721420288,0,,,,,0.0005334995337357012,1,0,5.377311486187697e-05,1.3552527156068805e-16
33,32.44458802134145,3.500672971495112,-0.6582524794621314,1.3777481301380234e-06,1.3509769665187576e-06,63.14512848854065,24,,,,,0.0009531982436577213,18,0,6.287867167724129e-06,0.0032673941424022765
34,0.8266502864231456,0.13161918403196524,-0.7536525886043375,-0.6161114433255057,-0.5781853195706406,11.517576932907104,0,,,,,0.0006680587303188323,1,0,3.688438747906364e-05,1.3552527156068805e-16
35,31.953777617789434,6.727342076724361,-0.6177808180500719,1.2809442189176679e-05,1.273541773505471e-05,52.93028163909912,24,,,,,0.0009762023164587852,15,0,1.9138603482500123e-05,0.013989655984386931
